Date,Currency,Mean,Buy,Sell
12/23/2016,USHS,34.9266,34.84362122,35.00956189
12/23/2016,TSHS,21.2784,21.20873639,21.34800939
12/23/2016,RWF,8.1413,8.09914111,8.183436196
12/23/2016,BIF,16.3624,16.24874203,16.47610614
12/28/2016,US DOLLAR,102.3589,102.2588889,102.4588889
12/28/2016,STG POUND,125.3358,125.2005556,125.4711111
12/28/2016,EURO,106.9011,106.7816667,107.0205556
12/28/2016,USHS,34.9262,34.84324336,35.00918149
12/28/2016,TSHS,21.2781,21.20850639,21.34777743
12/28/2016,RWF,8.1418,8.09963888,8.183934024
12/28/2016,BIF,16.3622,16.24856582,16.47592711
12/29/2016,US DOLLAR,102.4433,102.3433333,102.5433333
12/29/2016,STG POUND,125.145,125.0161111,125.2738889
12/29/2016,EURO,106.4675,106.3505556,106.5844444
12/29/2016,USHS,35.1707,35.08760524,35.25388399
12/29/2016,TSHS,21.2606,21.19104119,21.33016318
12/29/2016,RWF,7.9586,7.916653122,8.000521122
12/29/2016,BIF,16.4663,16.3525989,16.5799759
12/30/2016,US DOLLAR,102.4858,102.3872222,102.5844444
12/30/2016,STG POUND,125.4178,125.28,125.5555556
12/30/2016,EURO,107.0606,106.9444444,107.1766667
12/30/2016,USHS,35.2732,35.19052055,35.35597432
12/30/2016,TSHS,21.2518,21.18254879,21.32101988
12/30/2016,RWF,7.9555,7.913675454,7.997286988
12/30/2016,BIF,16.3468,16.23345536,16.46006175
1/3/2017,US DOLLAR,102.5628,102.4627778,102.6627778
1/3/2017,STG POUND,126.5178,126.385,126.6505556
1/3/2017,EURO,108.1692,108.0466667,108.2916667
1/3/2017,USHS,35.198,35.11496648,35.28110479
1/3/2017,TSHS,21.2846,21.21508932,21.35409607
1/3/2017,RWF,8.127,8.053259593,8.200734142
1/3/2017,BIF,16.3345,16.22106898,16.44792418
1/3/2017,US DOLLAR,102.5628,102.4627778,102.6627778
1/3/2017,STG POUND,126.5178,126.385,126.6505556
1/3/2017,EURO,108.1692,108.0466667,108.2916667
1/3/2017,USHS,35.198,35.11496648,35.28110479
1/3/2017,TSHS,21.2846,21.21508932,21.35409607
1/3/2017,RWF,8.127,8.053259593,8.200734142
1/3/2017,BIF,16.3345,16.22106898,16.44792418
1/4/2017,US DOLLAR,102.8128,102.7155556,102.91
1/4/2017,STG POUND,126.2164,126.0722222,126.3605556
1/4/2017,EURO,106.7778,106.6633333,106.8922222
1/4/2017,USHS,35.2097,35.12778156,35.29163602
1/4/2017,TSHS,21.2328,21.16412399,21.30154472
1/4/2017,RWF,8.1084,8.003498202,8.213361603
1/4/2017,BIF,16.4173,16.30453795,16.53011553
1/5/2017,US DOLLAR,103.4667,103.3666667,103.5666667
1/5/2017,STG POUND,127.27,127.1311111,127.4088889
1/5/2017,EURO,108.0036,107.8838889,108.1233333
1/5/2017,USHS,35.0162,34.93401995,35.09835537
1/5/2017,TSHS,21.1083,21.03958803,21.17703966
1/5/2017,RWF,7.8828,7.841326038,7.924217994
1/5/2017,BIF,16.1965,16.08422916,16.30883586
1/6/2017,US DOLLAR,103.6094,103.5094444,103.7094444
1/6/2017,STG POUND,127.4917,127.3433333,127.64
1/6/2017,EURO,109.0594,108.9366667,109.1822222
1/6/2017,USHS,35.0065,34.92449525,35.08858558
1/6/2017,TSHS,21.1178,21.04919192,21.18647252
1/6/2017,RWF,7.872,7.830627233,7.913384179
1/6/2017,BIF,16.2993,16.18705036,16.41154591
1/9/2017,US DOLLAR,103.6583,103.5555556,103.7611111
1/9/2017,STG POUND,127.86,127.7144444,128.0055556
1/9/2017,EURO,109.3611,109.2411111,109.4811111
1/9/2017,USHS,35.019,34.93601756,35.10193133
1/9/2017,TSHS,21.1175,21.04834824,21.18669528
1/9/2017,RWF,7.9204,7.816030412,8.024678112
1/9/2017,BIF,16.1676,16.05505167,16.28005365
1/10/2017,US DOLLAR,103.8056,103.7055556,103.9055556
1/10/2017,STG POUND,126.1336,125.9944444,126.2727778
1/10/2017,EURO,109.6767,109.5605556,109.7927778
1/10/2017,USHS,35.0416,34.88745121,35.19580007
1/10/2017,TSHS,21.1357,21.06720847,21.20426421
1/10/2017,RWF,7.8566,7.815270277,7.89784111
1/10/2017,BIF,16.2746,16.13850184,16.41069267
1/11/2017,US DOLLAR,103.8367,103.7366667,103.9366667
1/11/2017,STG POUND,126.2172,126.0777778,126.3566667
1/11/2017,EURO,109.9264,109.8088889,110.0438889
1/11/2017,USHS,34.9588,34.87700843,35.04064779
1/11/2017,TSHS,21.2353,21.16673615,21.30394268
1/11/2017,RWF,7.8553,7.813989288,7.896532888
1/11/2017,BIF,16.1398,16.00388057,16.27573021
1/12/2017,US DOLLAR,103.8283,103.7283333,103.9283333
1/12/2017,STG POUND,125.7658,125.6294444,125.9022222
1/12/2017,EURO,108.8556,108.7372222,108.9738889
1/12/2017,USHS,34.9135,34.83169492,34.99526005
1/12/2017,TSHS,21.3815,21.3127636,21.45026271
1/12/2017,RWF,7.857,7.815674263,7.898227742
1/12/2017,BIF,16.147,16.03508828,16.2588171
1/13/2017,US DOLLAR,103.8778,103.7777778,103.9777778
1/13/2017,STG POUND,126.3997,126.2227778,126.5766667
1/13/2017,EURO,110.2836,110.165,110.4022222
1/13/2017,USHS,34.8006,34.71895704,34.88222698
1/13/2017,TSHS,21.3713,21.30262877,21.44004283
1/13/2017,RWF,7.9132,7.809360975,8.017130621
1/13/2017,BIF,16.2721,16.1601838,16.38404711
1/16/2017,US DOLLAR,103.915,103.7927778,104.0372222
1/16/2017,STG POUND,126.3272,126.1861111,126.4683333
1/16/2017,EURO,110.5019,110.3855556,110.6183333
1/16/2017,USHS,34.74,34.65105972,34.82901294
1/16/2017,TSHS,21.4022,21.32890472,21.47548267
1/16/2017,RWF,7.8535,7.810569935,7.896406836
1/16/2017,BIF,16.271,16.1556601,16.38640025
1/17/2017,US DOLLAR,103.9306,103.8305556,104.0305556
1/17/2017,STG POUND,125.3733,125.2338889,125.5127778
1/17/2017,EURO,110.0881,109.9672222,110.2088889
1/17/2017,USHS,34.7348,34.65328029,34.81634073
1/17/2017,TSHS,21.4471,21.37833436,21.51582439
1/17/2017,RWF,7.8513,7.810109209,7.892570695
1/17/2017,BIF,16.1362,16.00635497,16.26602103
1/18/2017,US DOLLAR,103.9611,103.8611111,104.0611111
1/18/2017,STG POUND,128.5661,128.4238889,128.7083333
1/18/2017,EURO,111.2925,111.1733333,111.4116667
1/18/2017,USHS,34.7246,34.64310501,34.80609789
1/18/2017,TSHS,21.4889,21.42010571,21.55763573
1/18/2017,RWF,8.0219,7.949271262,8.094560043
1/18/2017,BIF,16.1315,15.99569697,16.26720514
1/19/2017,US DOLLAR,103.9494,103.8494444,104.0494444
1/19/2017,STG POUND,127.6242,127.4822222,127.7661111
1/19/2017,EURO,110.5861,110.4722222,110.7
1/19/2017,USHS,34.6323,34.55088126,34.71371483
1/19/2017,TSHS,21.5009,21.43211828,21.56968689
1/19/2017,RWF,8.0235,7.923444516,8.12358703
1/19/2017,BIF,16.134,16.02228641,16.24572966
1/20/2017,US DOLLAR,103.8333,103.7333333,103.9333333
1/20/2017,STG POUND,128.2744,128.1333333,128.4155556
1/20/2017,EURO,110.895,110.7738889,111.0161111
1/20/2017,USHS,34.6229,34.54137267,34.70437018
1/20/2017,TSHS,21.5249,21.45606158,21.59383033
1/20/2017,RWF,7.8606,7.81933932,7.901895887
1/20/2017,BIF,16.1541,16.04220654,16.2659383
1/23/2017,US DOLLAR,103.8028,103.7027778,103.9027778
1/23/2017,STG POUND,128.8486,128.7038889,128.9933333
1/23/2017,EURO,111.4469,111.3288889,111.565
1/23/2017,USHS,34.5849,34.50340864,34.66638095
1/23/2017,TSHS,21.7721,21.70298088,21.84126644
1/23/2017,RWF,7.919,7.814997995,8.022928776
1/23/2017,BIF,16.0257,15.91391525,16.13746551
1/24/2017,US DOLLAR,103.9511,103.8511111,104.0511111
